,thscode,ths_fund_scale_fund
216,002236.OF,115140671.04
217,002300.OF,76541605.92
218,002310.OF,204205414.5200001
219,002311.OF,163079262.58
220,002315.OF,5200757.640000001
221,002316.OF,6937498.010000001
222,002332.OF,925577486.41
223,002333.OF,334818862.57
224,002334.OF,58929561.07000002
225,002335.OF,4772621.15
226,002385.OF,44056775.92000001
227,002387.OF,1609366270.61
228,002510.OF,158697339.17
229,002556.OF,1187551.93
230,002595.OF,56153099.63000002
231,002621.OF,375605524.85
232,002656.OF,83916318.87999998
233,002670.OF,496628800.5500001
234,002671.OF,8634.95
235,002697.OF,11380294.84
236,002871.OF,1185728408.2
237,002872.OF,0.0
238,002900.OF,139178165.57
239,002903.OF,23576285.98
240,002906.OF,177270425.64
241,002907.OF,31390840.49
242,002952.OF,249086026.64
243,002974.OF,8881412.019999998
244,002977.OF,1967424.86
245,002978.OF,6811985.859999999
246,002979.OF,4566705.350000001
247,002980.OF,986686961.3499999
248,002982.OF,3854776.23
249,002984.OF,12938844.06
250,002987.OF,701112283.84
251,003015.OF,10336685.26
252,003016.OF,10525826.87
253,003017.OF,50568560.82
254,003053.OF,764943679.3299999
255,003054.OF,65583556.24
256,003145.OF,219751931.31
257,003190.OF,499337664.85
258,003191.OF,164313.12
259,003194.OF,2471278261.09
260,003230.OF,794545603.5
261,003231.OF,93544.48999999999
262,003232.OF,793996607.2400001
263,003233.OF,20628.58
264,003298.OF,229017232.87
265,003299.OF,10137351.83
266,003318.OF,
267,003359.OF,
268,003366.OF,225625313.19
269,003416.OF,81158502.86
270,003475.OF,50045075.83000001
271,003548.OF,
272,003578.OF,94.9
273,003579.OF,96.3
274,003624.OF,6539242.419999999
275,003625.OF,6045249.600000002
276,003634.OF,1229389739.01
277,003646.OF,4965656.23
278,003647.OF,5048168.179999999
279,003853.OF,
280,003865.OF,
281,003876.OF,9963636.409999998
282,003884.OF,196143393.3199999
283,003885.OF,5003479.7
284,003956.OF,281590206.8099999
285,003957.OF,
286,003958.OF,
287,003984.OF,
288,003985.OF,
289,003986.OF,215634268.68
290,004069.OF,
291,004070.OF,
292,004075.OF,
293,004189.OF,
294,004190.OF,202486061.8000001
295,004191.OF,9532.32
296,004194.OF,
297,004195.OF,
298,004241.OF,
299,004342.OF,
300,004343.OF,
301,004344.OF,
302,004345.OF,
303,004346.OF,
304,004347.OF,
305,004348.OF,
306,004408.OF,
307,004409.OF,
308,004410.OF,
309,020011.OF,1889147910.08
310,020021.OF,623920322.7800001
311,040002.OF,3410446226.71
312,040180.OF,436220930.2400001
313,040190.OF,107381876.31
314,050002.OF,4621542481.650002
315,050013.OF,245119813.28
316,050021.OF,37971085.40000001
317,050024.OF,36396530.14
318,070023.OF,88655668.42999998
319,070030.OF,152256584.83
320,090010.OF,97127893.55000001
321,090012.OF,168964166.8
322,100032.OF,654271139.6999999
323,100038.OF,1573336042.19
324,100053.OF,135920955.24
325,110003.OF,8872380617.27
326,110019.OF,1706970977.0
327,110020.OF,3693641570.78
328,110021.OF,209276092.68
329,110022.OF,1283598506.46
330,110026.OF,1076954308.75
331,110030.OF,546262781.12
332,159901.OF,3522425777.88
333,159902.OF,2417903308.47
334,159903.OF,496075834.91
335,159905.OF,217658413.8500001
336,159906.OF,166484409.19
337,159907.OF,263998752.41
338,159908.OF,44664941.03
339,159909.OF,72818135.2
340,159910.OF,89294309.42000003
341,159912.OF,74511849.96
342,159913.OF,43326478.07
343,159915.OF,5266230336.900002
344,159916.OF,96091777.04999997
345,159918.OF,150963392.57
346,159919.OF,17369097146.87
347,159922.OF,939202253.19
348,159923.OF,46270953.1
349,159925.OF,1003619607.91
350,159928.OF,992360963.9000001
351,159929.OF,89019568.57
352,159930.OF,8756896.97
353,159931.OF,33209158.28
354,159932.OF,35150574.11
355,159933.OF,448742964.4500001
356,159935.OF,82424267.80999999
357,159936.OF,392043225.34
358,159938.OF,674609412.4500002
359,159939.OF,416851104.85
360,159940.OF,113010917.0
361,159943.OF,435153307.18
362,159944.OF,92053103.25999999
363,159945.OF,132228258.57
364,159948.OF,145158953.85
365,159949.OF,217782094.58
366,160119.OF,4102521314.049999
367,160133.OF,501882764.8199999
368,160135.OF,272440307.4700001
369,160137.OF,292096861.72
370,160218.OF,1317222097.86
371,160219.OF,7005200969.68
372,160221.OF,1970185218.67
373,160222.OF,1033174791.09
374,160223.OF,39277799.09
375,160225.OF,110974812.91
376,160322.OF,376731429.86
377,160516.OF,263838398.92
378,160517.OF,128564005.86
379,160615.OF,253495211.24
380,160616.OF,268859995.67
381,160620.OF,440631702.2199999
382,160625.OF,1377575765.79
383,160626.OF,320708559.54
384,160628.OF,228968625.81
385,160629.OF,740505930.01
386,160630.OF,16609905859.13999
387,160631.OF,8730521122.25
388,160632.OF,435963512.98
389,160633.OF,687742335.9500002
390,160634.OF,174157835.99
391,160635.OF,31894308.17
392,160636.OF,180935168.9
393,160637.OF,1314657009.65
394,160638.OF,644676654.41
395,160639.OF,571727463.5500001
396,160706.OF,15539254888.71
397,160716.OF,1392279191.58
398,160806.OF,162664226.07
399,160807.OF,57936362.02
400,160814.OF,281086782.53
401,160919.OF,324339028.1100001
402,161017.OF,469817227.77
403,161022.OF,9799694498.639997
404,161024.OF,16630952150.29
405,161025.OF,6104616069.690002
406,161026.OF,14001115529.79
407,161027.OF,3527683306.68
408,161028.OF,4361803708.14
409,161029.OF,1068313574.83
410,161030.OF,391467861.5699999
411,161031.OF,2506755514.43
412,161032.OF,473557675.4500001
413,161033.OF,27505965.58000001
414,161035.OF,241688317.02
415,161036.OF,
416,161121.OF,394855632.9599999
417,161122.OF,215720224.01
418,161123.OF,1995357934.95
419,161211.OF,469731032.0099999
420,161217.OF,130447184.07
421,161227.OF,617994814.0400001
422,161604.OF,5281790736.3
423,161607.OF,798044831.6000001
424,161612.OF,158707922.09
425,161613.OF,465599367.45
426,161718.OF,29520221.64
427,161720.OF,15792021957.87
428,161721.OF,146072947.56
429,161723.OF,461218228.47
430,161724.OF,560954340.1999999
431,161725.OF,1328262601.94
432,161726.OF,454577149.6800001
433,161811.OF,132539318.35
434,161812.OF,5499321493.06
435,161907.OF,48042220.07000001
436,162107.OF,17237386.11
437,162208.OF,554026382.87
438,162213.OF,88315640.89
439,162216.OF,220321657.8
440,162307.OF,133155132.29
441,162413.OF,85538067.61
442,162509.OF,215970568.99
443,162510.OF,31591425.36000001
444,162711.OF,1402950923.49
445,162714.OF,59723237.63
446,162907.OF,43949667.13000001
447,163109.OF,3726533067.43
448,163110.OF,2646036593.259999
449,163113.OF,7899267987.220001
450,163114.OF,1183430733.21
451,163115.OF,2791964916.06
452,163118.OF,974116348.5100002
453,163209.OF,25697104.77
454,163407.OF,477934490.65
455,163808.OF,286746070.91
456,163821.OF,35535682.21
457,164205.OF,46189341.45999999
458,164304.OF,271884329.02
459,164401.OF,1082756917.66
460,164402.OF,9116304435.19
461,164508.OF,74743724.78000002
462,164809.OF,98141412.76
463,164811.OF,57195846.45
464,164908.OF,140841808.67
465,165309.OF,463156818.73
466,165310.OF,136706703.42
467,165312.OF,171343577.45
468,165511.OF,263859920.24
469,165515.OF,539010607.4800001
470,165519.OF,237165707.81
471,165520.OF,168691096.84
472,165521.OF,1855590193.200001
473,165522.OF,423691262.9
474,165523.OF,247168067.2399999
475,165524.OF,103408387.18
476,165525.OF,212755473.3
477,165806.OF,6908099.740000001
478,166802.OF,25408312.21
479,167301.OF,36807653.52
480,167503.OF,99750765.67
481,167702.OF,
482,167703.OF,
483,168203.OF,1986719213.56
484,168204.OF,1832356640.77
485,180003.OF,2433764598.55
486,200002.OF,631574844.35
487,202015.OF,786743854.2399999
488,202017.OF,313735973.28
489,202021.OF,846519602.3
490,202025.OF,228805831.42
491,202211.OF,497824245.3900001
492,206012.OF,62361749.73
493,213010.OF,81901829.26999998
494,217016.OF,53693707.72999999
495,217017.OF,110373964.8
496,217019.OF,70826989.29000002
497,217027.OF,36602417.6
498,233010.OF,45522614.36
499,240014.OF,527311135.8200001
500,240016.OF,123727922.38
501,257060.OF,129333029.65
502,270010.OF,1154291791.88
503,270026.OF,242136976.6000001
504,290010.OF,52390827.47000001
505,310318.OF,373234590.0500001
506,310398.OF,188901384.75
507,320010.OF,126859953.6
508,320014.OF,68777638.32000001
509,320020.OF,2019888949.67
510,320022.OF,890716206.85
511,340006.OF,3011926782.72
512,360001.OF,3387974366.349999
513,370023.OF,19598019.09
514,376510.OF,159750253.52
515,399001.OF,125388991.48
516,399011.OF,59096554.45999999
517,410008.OF,32772109.57
518,410010.OF,8769559.32
519,450008.OF,204864202.02
520,450009.OF,532568846.39
521,460220.OF,10828348.47
522,460300.OF,404666044.24
523,470007.OF,1403077081.55
524,470068.OF,60373231.2
525,481009.OF,1666075641.94
526,481012.OF,209759075.46
527,501005.OF,682483559.71
528,501006.OF,123283730.8
529,501007.OF,126150526.7
530,501008.OF,94119798.62
531,501009.OF,162598865.37
532,501010.OF,68817225.37
533,501011.OF,120231863.42
534,501012.OF,154498209.2
535,501019.OF,
536,501025.OF,64987404.45
537,501029.OF,403292056.11
538,501030.OF,272336864.6400001
539,501031.OF,75838865.51999998
540,501050.OF,376433630.21
541,502000.OF,195849208.5199999
542,502003.OF,638616286.6400002
543,502006.OF,591564246.5500002
544,502010.OF,344862499.64
545,502013.OF,1537922017.33
546,502020.OF,22531913.19
547,502023.OF,41068624.95999999
548,502048.OF,629655382.2300001
549,502053.OF,228817718.24
550,502056.OF,99593155.68
551,510010.OF,503136621.18
552,510020.OF,267459850.9900001
553,510030.OF,137312192.19
554,510050.OF,29308196821.64999
555,510060.OF,221407258.65
